id,frequency,recency,T,monetary_value
1,2,30.43,38.86,22.35
2,1,1.71,38.86,11.77
3,0,0.0,38.86,0.0
4,0,0.0,38.86,0.0
5,0,0.0,38.86,0.0
6,7,29.43,38.86,73.74
7,1,5.0,38.86,11.77
8,0,0.0,38.86,0.0
9,2,35.71,38.86,25.55
10,0,0.0,38.86,0.0
11,5,24.43,38.86,29.44
12,0,0.0,38.86,0.0
13,0,0.0,38.86,0.0
14,0,0.0,38.86,0.0
15,0,0.0,38.86,0.0
16,0,0.0,38.86,0.0
17,10,34.14,38.86,24.24
18,1,4.86,38.86,9.99
19,3,28.29,38.71,25.08
20,0,0.0,38.71,0.0
21,2,14.57,38.71,32.3
22,0,0.0,38.71,0.0
23,0,0.0,38.71,0.0
24,0,0.0,38.71,0.0
25,0,0.0,38.71,0.0
26,1,1.57,38.71,227.14
27,0,0.0,38.71,0.0
28,1,29.43,38.71,80.46
29,0,0.0,38.71,0.0
30,1,5.86,38.71,40.47
31,0,0.0,38.71,0.0
32,0,0.0,38.71,0.0
33,0,0.0,38.71,0.0
34,0,0.0,38.71,0.0
35,1,27.14,38.71,31.14
36,0,0.0,38.71,0.0
37,0,0.0,38.71,0.0
38,1,2.14,38.71,13.97
39,0,0.0,38.71,0.0
40,0,0.0,38.71,0.0
41,0,0.0,38.57,0.0
42,0,0.0,38.57,0.0
43,0,0.0,38.57,0.0
44,0,0.0,38.57,0.0
45,1,24.43,38.57,14.96
46,12,34.43,38.57,29.54
47,0,0.0,38.57,0.0
48,0,0.0,38.57,0.0
49,1,1.57,38.57,14.37
50,0,0.0,38.57,0.0
51,0,0.0,38.57,0.0
52,0,0.0,38.57,0.0
53,0,0.0,38.57,0.0
54,0,0.0,38.57,0.0
55,0,0.0,38.57,0.0
56,2,33.14,38.57,28.03
57,1,4.29,38.57,15.36
58,0,0.0,38.43,0.0
59,1,38.43,38.43,6.49
60,0,0.0,38.43,0.0
61,4,29.43,38.43,53.4
62,0,0.0,38.43,0.0
63,1,16.14,38.43,43.13
64,0,0.0,38.43,0.0
65,0,0.0,38.43,0.0
66,0,0.0,38.43,0.0
67,2,21.14,38.43,133.48
68,0,0.0,38.43,0.0
69,0,0.0,38.43,0.0
70,3,29.29,38.43,42.63
71,0,0.0,38.43,0.0
72,0,0.0,38.43,0.0
73,1,5.86,38.43,69.23
74,0,0.0,38.43,0.0
75,1,5.14,38.43,20.77
76,0,0.0,38.43,0.0
77,0,0.0,38.43,0.0
78,0,0.0,38.29,0.0
79,3,16.86,38.29,20.22
80,0,0.0,38.29,0.0
81,0,0.0,38.29,0.0
82,1,7.43,38.29,42.09
83,0,0.0,38.29,0.0
84,0,0.0,38.29,0.0
85,0,0.0,38.29,0.0
86,7,26.43,38.29,27.63
87,0,0.0,38.29,0.0
88,10,35.43,38.29,13.66
89,0,0.0,38.29,0.0
90,0,0.0,38.29,0.0
91,1,33.29,38.29,14.99
92,6,37.43,38.29,50.87
93,0,0.0,38.29,0.0
94,0,0.0,38.29,0.0
95,0,0.0,38.29,0.0
96,0,0.0,38.29,0.0
97,0,0.0,38.29,0.0
98,2,31.86,38.29,33.42
99,4,37.57,38.29,20.68
100,1,23.86,38.29,26.22
101,5,36.14,38.14,17.47
102,0,0.0,38.14,0.0
103,0,0.0,38.14,0.0
104,0,0.0,38.14,0.0
105,1,24.14,38.14,92.8
106,1,6.14,38.14,52.3
107,0,0.0,38.14,0.0
108,0,0.0,38.14,0.0
109,1,0.29,38.14,39.09
110,0,0.0,38.14,0.0
111,1,0.29,38.14,12.97
112,0,0.0,38.14,0.0
113,0,0.0,38.14,0.0
114,1,24.14,38.14,24.99
115,0,0.0,38.14,0.0
116,1,5.29,38.14,28.31
117,0,0.0,38.14,0.0
118,0,0.0,38.14,0.0
119,0,0.0,38.14,0.0
120,0,0.0,38.14,0.0
121,1,3.0,38.14,13.77
122,0,0.0,38.14,0.0
123,0,0.0,38.14,0.0
124,0,0.0,38.14,0.0
125,1,7.14,38.14,36.71
126,0,0.0,38.0,0.0
127,0,0.0,38.0,0.0
128,0,0.0,38.0,0.0
129,4,7.57,38.0,13.62
130,3,26.0,38.0,19.36
131,0,0.0,38.0,0.0
132,1,24.0,38.0,71.66
133,2,28.43,38.0,13.87
134,0,0.0,38.0,0.0
135,1,23.43,38.0,19.54
136,2,7.43,38.0,23.48
137,0,0.0,38.0,0.0
138,2,16.86,38.0,51.8
139,1,2.14,38.0,29.33
140,1,15.71,38.0,23.54
141,0,0.0,38.0,0.0
142,5,6.86,38.0,35.58
143,2,28.57,38.0,15.16
144,7,34.14,38.0,22.92
145,2,35.71,38.0,18.98
146,0,0.0,38.0,0.0
147,4,29.29,38.0,29.86
148,13,37.86,38.0,29.34
149,0,0.0,38.0,0.0
150,4,33.0,38.0,28.53
151,4,35.29,38.0,24.94
152,0,0.0,38.0,0.0
153,0,0.0,38.0,0.0
154,1,2.86,38.0,16.7
155,0,0.0,38.0,0.0
156,1,6.43,38.0,34.32
157,29,37.71,38.0,26.26
158,0,0.0,37.86,0.0
159,3,24.71,37.86,46.59
160,0,0.0,37.86,0.0
161,0,0.0,37.86,0.0
162,1,2.0,37.86,46.28
163,0,0.0,37.86,0.0
164,10,37.0,37.86,62.44
165,0,0.0,37.86,0.0
166,0,0.0,37.86,0.0
167,13,28.14,37.86,25.46
168,0,0.0,37.86,0.0
169,0,0.0,37.86,0.0
170,1,37.43,37.86,14.49
171,0,0.0,37.86,0.0
172,0,0.0,37.86,0.0
173,0,0.0,37.86,0.0
174,0,0.0,37.86,0.0
175,0,0.0,37.86,0.0
176,0,0.0,37.71,0.0
177,0,0.0,37.71,0.0
178,6,32.86,37.71,35.18
179,8,36.14,37.71,49.25
180,0,0.0,37.71,0.0
181,0,0.0,37.71,0.0
182,0,0.0,37.71,0.0
183,1,5.0,37.71,15.76
184,0,0.0,37.71,0.0
185,4,36.14,37.71,33.91
186,0,0.0,37.71,0.0
187,2,7.86,37.71,11.87
188,3,21.14,37.71,37.99
189,3,6.0,37.71,28.46
190,0,0.0,37.71,0.0
191,0,0.0,37.71,0.0
192,0,0.0,37.71,0.0
193,0,0.0,37.71,0.0
194,0,0.0,37.71,0.0
195,6,27.0,37.71,28.77
196,0,0.0,37.71,0.0
197,1,1.57,37.71,27.13
198,0,0.0,37.71,0.0
199,0,0.0,37.71,0.0
200,2,14.29,37.57,41.48
201,0,0.0,37.57,0.0
202,2,7.0,37.57,18.88
203,2,31.0,37.57,21.87
204,0,0.0,37.57,0.0
205,0,0.0,37.57,0.0
206,1,18.0,37.57,14.96
207,0,0.0,37.57,0.0
208,1,0.29,37.57,34.27
209,0,0.0,37.57,0.0
210,0,0.0,37.57,0.0
211,7,17.86,37.57,71.81
212,0,0.0,37.57,0.0
213,0,0.0,37.57,0.0
214,0,0.0,37.57,0.0
215,2,29.0,37.57,14.47
216,0,0.0,37.57,0.0
217,4,24.29,37.57,37.26
218,0,0.0,37.43,0.0
219,1,14.86,37.43,14.99
220,1,27.43,37.43,21.74
221,0,0.0,37.43,0.0
222,0,0.0,37.43,0.0
223,0,0.0,37.43,0.0
224,0,0.0,37.43,0.0
225,0,0.0,37.43,0.0
226,2,11.43,37.43,20.35
227,0,0.0,37.43,0.0
228,1,2.0,37.43,13.97
229,1,1.86,37.43,9.77
230,2,33.0,37.43,28.65
231,0,0.0,37.43,0.0
232,3,36.57,37.43,22.29
233,0,0.0,37.43,0.0
234,0,0.0,37.43,0.0
235,0,0.0,37.43,0.0
236,0,0.0,37.43,0.0
237,0,0.0,37.43,0.0
238,0,0.0,37.43,0.0
239,0,0.0,37.43,0.0
240,0,0.0,37.43,0.0
241,0,0.0,37.43,0.0
242,4,31.43,37.43,24.09
243,1,8.29,37.29,55.28
244,5,5.14,37.29,194.86
245,0,0.0,37.29,0.0
246,0,0.0,37.29,0.0
247,2,24.0,37.29,36.11
248,0,0.0,37.29,0.0
249,1,1.86,37.29,30.32
250,2,20.43,37.29,26.94
251,0,0.0,37.29,0.0
252,0,0.0,37.29,0.0
253,1,32.0,37.29,16.36
254,0,0.0,37.29,0.0
255,1,0.43,37.29,11.77
256,0,0.0,37.29,0.0
257,5,16.14,37.29,32.12
258,0,0.0,37.29,0.0
259,0,0.0,37.29,0.0
260,1,5.86,37.29,38.77
261,2,28.57,37.29,52.94
262,0,0.0,37.29,0.0
263,1,36.86,37.29,64.45
264,0,0.0,37.29,0.0
265,0,0.0,37.29,0.0
266,1,0.14,37.29,11.77
267,2,35.57,37.29,21.36
268,1,5.71,37.29,90.83
269,0,0.0,37.14,0.0
270,1,2.0,37.14,79.72
271,0,0.0,37.14,0.0
272,1,3.86,37.14,41.82
273,0,0.0,37.14,0.0
274,3,24.29,37.14,20.5
275,1,34.0,37.14,25.74
276,13,30.71,37.14,17.56
277,0,0.0,37.14,0.0
278,0,0.0,37.14,0.0
279,0,0.0,37.14,0.0
280,0,0.0,37.14,0.0
281,0,0.0,37.14,0.0
282,3,19.43,37.14,87.43
283,3,32.86,37.14,19.62
284,1,3.0,37.14,36.67
285,0,0.0,37.14,0.0
286,0,0.0,37.14,0.0
287,3,31.57,37.14,33.97
288,0,0.0,37.14,0.0
289,5,36.43,37.14,36.98
290,0,0.0,37.14,0.0
291,2,35.43,37.14,65.07
292,1,0.43,37.14,20.75
293,0,0.0,37.14,0.0
294,1,0.71,37.14,18.99
295,0,0.0,37.14,0.0
296,0,0.0,37.14,0.0
297,1,15.29,37.0,76.41
298,1,1.14,37.0,12.97
299,0,0.0,37.0,0.0
300,0,0.0,37.0,0.0
301,0,0.0,37.0,0.0
302,3,34.43,37.0,20.08
303,1,36.29,37.0,31.48
304,1,17.86,37.0,69.84
305,0,0.0,37.0,0.0
306,1,3.43,37.0,14.37
307,0,0.0,37.0,0.0
308,0,0.0,37.0,0.0
309,0,0.0,37.0,0.0
310,4,4.29,37.0,48.81
311,0,0.0,37.0,0.0
312,2,34.57,37.0,25.61
313,0,0.0,37.0,0.0
314,3,27.71,37.0,93.4
315,0,0.0,37.0,0.0
316,0,0.0,37.0,0.0
317,1,19.86,37.0,29.75
318,0,0.0,37.0,0.0
319,1,16.57,37.0,48.94
320,0,0.0,37.0,0.0
321,2,32.0,37.0,60.75
322,0,0.0,36.86,0.0
323,1,8.86,36.86,41.77
324,3,2.71,36.86,15.89
325,25,27.29,36.86,37.21
326,0,0.0,36.86,0.0
327,0,0.0,36.86,0.0
328,0,0.0,36.86,0.0
329,0,0.0,36.86,0.0
330,5,22.57,36.86,59.42
331,0,0.0,36.86,0.0
332,2,14.14,36.86,10.88
333,0,0.0,36.86,0.0
334,0,0.0,36.86,0.0
335,0,0.0,36.86,0.0
336,5,36.0,36.86,45.07
337,0,0.0,36.86,0.0
338,0,0.0,36.86,0.0
339,1,22.43,36.86,9.77
340,0,0.0,36.86,0.0
341,0,0.0,36.86,0.0
342,0,0.0,36.86,0.0
343,0,0.0,36.86,0.0
344,2,22.57,36.71,15.7
345,0,0.0,36.71,0.0
346,0,0.0,36.71,0.0
347,0,0.0,36.71,0.0
348,1,22.57,36.71,4.79
349,0,0.0,36.71,0.0
350,2,22.57,36.71,79.02
351,1,9.57,36.71,12.77
352,0,0.0,36.71,0.0
353,0,0.0,36.71,0.0
354,0,0.0,36.71,0.0
355,0,0.0,36.71,0.0
356,0,0.0,36.71,0.0
357,1,2.57,36.71,242.98
358,2,23.71,36.71,36.22
359,0,0.0,36.71,0.0
360,0,0.0,36.71,0.0
361,0,0.0,36.71,0.0
362,0,0.0,36.71,0.0
363,2,10.57,36.71,9.77
364,4,28.71,36.71,41.81
365,0,0.0,36.71,0.0
366,0,0.0,36.57,0.0
367,1,11.71,36.57,176.45
368,3,17.43,36.57,26.42
369,0,0.0,36.57,0.0
370,1,14.14,36.57,24.74
371,0,0.0,36.57,0.0
372,0,0.0,36.57,0.0
373,0,0.0,36.57,0.0
374,0,0.0,36.57,0.0
375,0,0.0,36.57,0.0
376,1,5.71,36.57,13.77
377,1,10.43,36.57,13.97
378,1,22.0,36.57,16.7
379,0,0.0,36.57,0.0
380,0,0.0,36.57,0.0
381,0,0.0,36.57,0.0
382,11,36.43,36.57,37.11
383,0,0.0,36.57,0.0
384,0,0.0,36.57,0.0
385,4,31.14,36.57,22.86
386,0,0.0,36.57,0.0
387,0,0.0,36.57,0.0
388,1,15.29,36.43,100.59
389,2,10.14,36.43,22.08
390,0,0.0,36.43,0.0
391,0,0.0,36.43,0.0
392,0,0.0,36.43,0.0
393,0,0.0,36.43,0.0
394,1,25.86,36.43,189.64
395,1,4.43,36.43,23.54
396,0,0.0,36.43,0.0
397,3,21.29,36.43,14.37
398,1,8.0,36.43,29.99
399,0,0.0,36.43,0.0
400,0,0.0,36.43,0.0
401,2,21.86,36.43,18.14
402,0,0.0,36.43,0.0
403,8,31.14,36.43,44.8
404,1,6.14,36.43,15.38
405,0,0.0,36.43,0.0
406,2,15.86,36.43,34.22
407,1,31.86,36.43,14.96
408,0,0.0,36.43,0.0
409,0,0.0,36.43,0.0
410,1,21.71,36.43,28.34
411,0,0.0,36.43,0.0
412,2,3.43,36.43,15.36
413,0,0.0,36.43,0.0
414,0,0.0,36.43,0.0
415,3,20.86,36.29,17.89
416,0,0.0,36.29,0.0
417,0,0.0,36.29,0.0
418,0,0.0,36.29,0.0
419,0,0.0,36.29,0.0
420,0,0.0,36.29,0.0
421,0,0.0,36.29,0.0
422,2,12.43,36.29,52.47
423,2,19.71,36.29,13.37
424,0,0.0,36.29,0.0
425,0,0.0,36.29,0.0
426,0,0.0,36.29,0.0
427,1,4.43,36.29,29.33
428,2,30.0,36.29,25.05
429,0,0.0,36.29,0.0
430,0,0.0,36.29,0.0
431,0,0.0,36.29,0.0
432,0,0.0,36.29,0.0
433,0,0.0,36.29,0.0
434,1,8.43,36.29,25.74
435,0,0.0,36.29,0.0
436,0,0.0,36.29,0.0
437,0,0.0,36.29,0.0
438,0,0.0,36.29,0.0
439,1,18.14,36.29,34.14
440,2,26.14,36.29,97.58
441,4,26.71,36.29,13.93
442,0,0.0,36.29,0.0
443,0,0.0,36.29,0.0
444,2,3.14,36.14,29.98
445,0,0.0,36.14,0.0
446,6,27.14,36.14,23.18
447,0,0.0,36.14,0.0
448,1,2.14,36.14,44.97
449,0,0.0,36.14,0.0
450,1,7.86,36.14,27.33
451,1,8.86,36.14,83.39
452,1,17.0,36.14,11.77
453,2,11.0,36.14,31.26
454,1,27.14,36.14,14.37
455,0,0.0,36.14,0.0
456,7,28.29,36.14,66.89
457,4,15.14,36.14,19.02
458,0,0.0,36.14,0.0
459,0,0.0,36.14,0.0
460,0,0.0,36.14,0.0
461,7,25.43,36.14,21.39
462,0,0.0,36.14,0.0
463,1,8.57,36.14,58.07
464,1,17.0,36.14,38.71
465,0,0.0,36.14,0.0
466,2,23.0,36.14,32.54
467,1,31.57,36.14,51.5
468,0,0.0,36.14,0.0
469,4,30.43,36.14,21.65
470,0,0.0,36.14,0.0
471,1,2.43,36.14,14.79
472,0,0.0,36.14,0.0
473,0,0.0,36.14,0.0
474,2,33.71,36.14,20.13
475,0,0.0,36.14,0.0
476,0,0.0,36.14,0.0
477,4,36.0,36.14,29.69
478,0,0.0,36.14,0.0
479,0,0.0,36.0,0.0
480,2,21.29,36.0,56.95
481,1,21.57,36.0,89.48
482,0,0.0,36.0,0.0
483,1,8.57,36.0,11.97
484,0,0.0,36.0,0.0
485,11,33.14,36.0,50.03
486,0,0.0,36.0,0.0
487,4,9.0,36.0,31.04
488,0,0.0,36.0,0.0
489,0,0.0,36.0,0.0
490,0,0.0,36.0,0.0
491,4,17.43,36.0,32.82
492,0,0.0,36.0,0.0
493,3,30.43,36.0,31.99
494,0,0.0,36.0,0.0
495,1,36.0,36.0,11.49
496,1,2.14,36.0,15.36
497,0,0.0,36.0,0.0
498,0,0.0,36.0,0.0
499,6,26.57,36.0,43.93
500,3,5.57,36.0,36.19
501,0,0.0,36.0,0.0
502,0,0.0,36.0,0.0
503,0,0.0,36.0,0.0
504,0,0.0,35.86,0.0
505,2,14.29,35.86,39.6
506,0,0.0,35.86,0.0
507,2,31.0,35.86,27.85
508,0,0.0,35.86,0.0
509,18,35.14,35.86,78.63
510,0,0.0,35.86,0.0
511,1,5.29,35.86,14.96
512,0,0.0,35.86,0.0
513,1,7.86,35.86,37.65
514,0,0.0,35.86,0.0
515,0,0.0,35.86,0.0
516,0,0.0,35.86,0.0
517,5,29.57,35.86,27.39
518,0,0.0,35.86,0.0
519,1,35.86,35.86,41.47
520,0,0.0,35.86,0.0
521,6,34.86,35.86,18.67
522,0,0.0,35.86,0.0
523,2,11.14,35.86,17.62
524,0,0.0,35.86,0.0
525,0,0.0,35.86,0.0
526,2,22.71,35.86,96.09
527,0,0.0,35.86,0.0
528,1,29.86,35.86,27.77
529,1,20.86,35.71,38.92
530,0,0.0,35.71,0.0
531,0,0.0,35.71,0.0
532,1,12.86,35.71,12.49
533,0,0.0,35.71,0.0
534,1,4.57,35.71,44.88
535,2,29.43,35.71,77.42
536,0,0.0,35.71,0.0
537,0,0.0,35.71,0.0
538,0,0.0,35.71,0.0
539,1,0.14,35.71,6.79
540,0,0.0,35.71,0.0
541,2,31.71,35.71,33.72
542,0,0.0,35.71,0.0
543,2,22.43,35.71,135.96
544,0,0.0,35.71,0.0
545,0,0.0,35.71,0.0
546,0,0.0,35.71,0.0
547,0,0.0,35.71,0.0
548,1,22.0,35.71,71.45
549,10,33.57,35.71,38.76
550,0,0.0,35.71,0.0
551,1,6.71,35.71,30.97
552,3,3.43,35.71,41.46
553,3,23.71,35.71,58.67
554,0,0.0,35.71,0.0
555,2,32.43,35.71,31.97
556,0,0.0,35.71,0.0
557,0,0.0,35.71,0.0
558,12,23.86,35.57,26.74
559,0,0.0,35.57,0.0
560,1,7.57,35.57,30.32
561,2,29.0,35.57,46.35
562,2,34.43,35.57,24.99
563,0,0.0,35.57,0.0
564,0,0.0,35.57,0.0
565,0,0.0,35.57,0.0
566,0,0.0,35.57,0.0
567,5,33.43,35.57,20.81
568,0,0.0,35.57,0.0
569,0,0.0,35.57,0.0
570,2,24.86,35.57,14.31
571,0,0.0,35.57,0.0
572,5,8.71,35.57,50.67
573,0,0.0,35.57,0.0
574,1,26.71,35.57,27.31
575,1,5.43,35.57,13.97
576,0,0.0,35.57,0.0
577,1,7.29,35.57,59.25
578,0,0.0,35.57,0.0
579,0,0.0,35.57,0.0
580,0,0.0,35.57,0.0
581,0,0.0,35.57,0.0
582,0,0.0,35.57,0.0
583,0,0.0,35.57,0.0
584,1,35.43,35.43,45.98
585,2,21.57,35.43,44.0
586,0,0.0,35.43,0.0
587,0,0.0,35.43,0.0
588,0,0.0,35.43,0.0
589,0,0.0,35.43,0.0
590,0,0.0,35.43,0.0
591,0,0.0,35.43,0.0
592,1,29.0,35.43,15.36
593,7,17.14,35.43,42.49
594,0,0.0,35.43,0.0
595,0,0.0,35.43,0.0
596,2,32.71,35.43,41.12
597,0,0.0,35.43,0.0
598,0,0.0,35.43,0.0
599,2,25.86,35.43,8.38
600,0,0.0,35.43,0.0
601,4,21.43,35.43,31.97
602,0,0.0,35.43,0.0
603,0,0.0,35.43,0.0
604,3,30.0,35.43,14.7
605,0,0.0,35.43,0.0
606,1,31.29,35.43,14.37
607,0,0.0,35.43,0.0
608,2,13.57,35.43,21.37
609,2,22.0,35.43,37.08
610,0,0.0,35.43,0.0
611,1,10.29,35.29,163.61
612,1,20.86,35.29,11.77
613,2,33.57,35.29,11.63
614,0,0.0,35.29,0.0
615,0,0.0,35.29,0.0
616,0,0.0,35.29,0.0
617,0,0.0,35.29,0.0
618,2,3.86,35.29,21.75
619,0,0.0,35.29,0.0
620,0,0.0,35.29,0.0
621,1,7.86,35.29,19.99
622,0,0.0,35.29,0.0
623,1,23.86,35.29,13.97
624,0,0.0,35.29,0.0
625,3,11.14,35.29,32.02
626,0,0.0,35.29,0.0
627,0,0.0,35.29,0.0
628,0,0.0,35.29,0.0
629,0,0.0,35.29,0.0
630,1,34.29,35.29,18.98
631,0,0.0,35.29,0.0
632,0,0.0,35.29,0.0
633,1,2.71,35.29,75.2
634,0,0.0,35.29,0.0
635,0,0.0,35.29,0.0
636,0,0.0,35.29,0.0
637,0,0.0,35.14,0.0
638,0,0.0,35.14,0.0
639,0,0.0,35.14,0.0
640,0,0.0,35.14,0.0
641,3,26.71,35.14,40.04
642,0,0.0,35.14,0.0
643,4,28.43,35.14,15.26
644,0,0.0,35.14,0.0
645,0,0.0,35.14,0.0
646,0,0.0,35.14,0.0
647,0,0.0,35.14,0.0
648,2,11.57,35.14,11.98
649,1,8.57,35.14,15.36
650,1,6.43,35.14,29.33
651,0,0.0,35.14,0.0
652,0,0.0,35.14,0.0
653,0,0.0,35.14,0.0
654,0,0.0,35.14,0.0
655,5,31.14,35.14,29.39
656,1,5.86,35.14,11.77
657,0,0.0,35.14,0.0
658,0,0.0,35.14,0.0
659,1,7.14,35.14,26.73
660,2,8.29,35.14,24.08
661,1,33.71,35.14,12.99
662,0,0.0,35.14,0.0
663,0,0.0,35.14,0.0
664,0,0.0,35.14,0.0
665,0,0.0,35.14,0.0
666,1,20.86,35.0,52.47
667,0,0.0,35.0,0.0
668,8,33.57,35.0,29.48
669,1,4.43,35.0,54.71
670,0,0.0,35.0,0.0
671,6,29.29,35.0,36.53
672,1,8.14,35.0,34.11
673,2,3.86,35.0,20.15
674,0,0.0,35.0,0.0
675,3,25.29,35.0,70.45
676,6,23.0,35.0,79.33
677,0,0.0,35.0,0.0
678,1,20.43,35.0,14.96
679,0,0.0,35.0,0.0
680,2,16.29,35.0,28.64
681,5,25.14,35.0,17.25
682,0,0.0,35.0,0.0
683,1,28.0,35.0,10.77
684,0,0.0,35.0,0.0
685,0,0.0,35.0,0.0
686,0,0.0,35.0,0.0
687,0,0.0,35.0,0.0
688,0,0.0,35.0,0.0
689,0,0.0,35.0,0.0
690,1,18.86,35.0,29.92
691,1,6.0,35.0,21.54
692,0,0.0,35.0,0.0
693,13,34.43,35.0,42.44
694,0,0.0,35.0,0.0
695,0,0.0,35.0,0.0
696,1,3.57,35.0,24.99
697,3,25.86,34.86,20.08
698,0,0.0,34.86,0.0
699,5,14.43,34.86,17.22
700,0,0.0,34.86,0.0
701,2,17.43,34.86,20.55
702,1,22.86,34.86,128.89
703,0,0.0,34.86,0.0
704,0,0.0,34.86,0.0
705,1,11.14,34.86,11.78
706,0,0.0,34.86,0.0
707,1,4.0,34.86,37.75
708,1,0.57,34.86,29.58
709,0,0.0,34.86,0.0
710,0,0.0,34.86,0.0
711,0,0.0,34.86,0.0
712,4,30.57,34.86,22.54
713,6,33.57,34.86,16.31
714,1,1.71,34.86,14.37
715,2,9.71,34.86,50.27
716,0,0.0,34.86,0.0
717,0,0.0,34.86,0.0
718,2,12.0,34.86,14.47
719,0,0.0,34.86,0.0
720,7,34.86,34.86,14.6
721,0,0.0,34.86,0.0
722,0,0.0,34.86,0.0
723,0,0.0,34.86,0.0
724,0,0.0,34.86,0.0
725,0,0.0,34.86,0.0
726,3,20.29,34.86,48.17
727,0,0.0,34.86,0.0
728,5,17.0,34.86,62.48
729,0,0.0,34.86,0.0
730,2,10.57,34.71,11.77
731,1,4.57,34.71,18.76
732,3,33.71,34.71,37.47
733,0,0.0,34.71,0.0
734,0,0.0,34.71,0.0
735,0,0.0,34.71,0.0
736,0,0.0,34.71,0.0
737,0,0.0,34.71,0.0
738,0,0.0,34.71,0.0
739,1,13.29,34.71,12.49
740,0,0.0,34.71,0.0
741,1,24.86,34.71,14.96
742,0,0.0,34.71,0.0
743,0,0.0,34.71,0.0
744,0,0.0,34.71,0.0
745,2,14.43,34.71,16.83
746,0,0.0,34.71,0.0
747,1,12.57,34.71,70.13
748,0,0.0,34.71,0.0
749,0,0.0,34.71,0.0
750,1,7.14,34.71,6.79
751,10,29.29,34.71,62.26
752,0,0.0,34.71,0.0
753,0,0.0,34.71,0.0
754,0,0.0,34.71,0.0
755,0,0.0,34.71,0.0
756,3,16.43,34.71,13.3
757,3,17.14,34.71,20.68
758,0,0.0,34.71,0.0
759,0,0.0,34.71,0.0
760,2,9.14,34.57,66.94
761,5,34.57,34.57,89.61
762,4,23.14,34.57,18.04
763,0,0.0,34.57,0.0
764,0,0.0,34.57,0.0
765,0,0.0,34.57,0.0
766,0,0.0,34.57,0.0
767,0,0.0,34.57,0.0
768,0,0.0,34.57,0.0
769,0,0.0,34.57,0.0
770,1,3.71,34.57,27.94
771,0,0.0,34.57,0.0
772,0,0.0,34.57,0.0
773,0,0.0,34.57,0.0
774,0,0.0,34.57,0.0
775,1,16.0,34.57,15.36
776,1,0.29,34.57,24.98
777,3,9.29,34.57,12.19
778,1,8.71,34.57,28.34
779,0,0.0,34.57,0.0
780,0,0.0,34.57,0.0
781,0,0.0,34.57,0.0
782,0,0.0,34.43,0.0
783,6,32.86,34.43,47.02
784,2,25.57,34.43,37.12
785,0,0.0,34.43,0.0
786,0,0.0,34.43,0.0
787,0,0.0,34.43,0.0
788,0,0.0,34.43,0.0
789,0,0.0,34.43,0.0
790,0,0.0,34.43,0.0
791,0,0.0,34.43,0.0
792,0,0.0,34.43,0.0
793,1,2.14,34.43,50.3
794,6,30.86,34.43,13.48
795,0,0.0,34.43,0.0
796,1,5.86,34.43,32.37
797,0,0.0,34.43,0.0
798,2,8.14,34.43,127.32
799,0,0.0,34.43,0.0
800,0,0.0,34.43,0.0
801,7,33.71,34.43,124.61
802,0,0.0,34.43,0.0
803,0,0.0,34.43,0.0
804,0,0.0,34.43,0.0
805,2,20.71,34.43,32.42
806,0,0.0,34.43,0.0
